Reference,Habitat.Type,Management.Method,Management.Intensity,Duration.of.treatment..years.,Years.since.Treatment..if.applicable.,Significant.,Alpha,Management.Effect.Type,Ecosystem.element.assessed..soil.plant.microbe.fungi.fauna.,Endpoint,Measurement.Unit,Endpoint.Modifier,Magnitude.or.degree.of.change,Magnitude.or.degree.of.change..text.,Response..Measurement,Response.Number.of.Observations,Response.Standard.Deviation,Control.Reference.Measurement,Control.Number.of.Observations,Control.Standard.Deviation,general.area,Location
Brockway and Lewis (1997),Coniferous Forest,Prescribed Burn,Annual Burn,40,0.75,N,0.05,community composition,Plant,cover,%,understory,-88.00%,Decrease,0.3,36,,2.5,36,,SE,
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,Y,Not listed,biogeochemical,Soil,pH,,,4.87%,Increase,6.03,8,0.1,5.75,8,0.05,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,ammonium,ug/g,,-2.70%,Decrease,14.4,8,2.1,14.8,8,1.6,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,nitrate N,ug/g,,6.72%,Increase,12.7,8,2.1,11.9,8,1.7,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,N mineralization,ug/g/month,,107.69%,Increase,27,8,3,13,8,5,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,nitrification,ug/g/month,,72.22%,Increase,31,8,13,18,8,4,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,Y,Not listed,biogeochemical,Soil,pH,,,3.96%,Increase,5.25,8,0.6,5.05,8,0.03,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,ammonium,ug/g,,21.65%,Increase,11.8,8,1.1,9.7,8,0.7,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,nitrate N,ug/g,,21.99%,Increase,17.2,8,0.8,14.1,8,2.1,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,N mineralization,ug/g/month,,57.14%,Increase,33,8,13,21,8,9,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Soil,nitrification,ug/g/month,,60.00%,Increase,32,8,13,20,8,9,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,N,%,,0.00%,Decrease,1.75,8,0.14,1.75,8,0.12,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,K,%,,-10.09%,Decrease,0.98,8,0.17,1.09,8,0.22,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,Ca,%,,0.00%,Decrease,1.08,8,0.16,1.08,8,0.23,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,Mg,%,,15.79%,Increase,0.22,8,0.02,0.19,8,0.01,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,Mn,mg/kg,,26.56%,Increase,81,8,15,64,8,8,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,N,%,,1.75%,Increase,1.74,8,0.07,1.71,8,0.08,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,K,%,,14.55%,Increase,1.26,8,0.14,1.1,8,0.07,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,Ca,%,,9.24%,Increase,1.3,8,0.04,1.19,8,0.09,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,Mg,%,,40.00%,Increase,0.28,8,0.03,0.2,8,0.06,NE,Massachussetts
"Cassidy et al, 2004",Forest,Liming,300 g/m2 of CaCO3,,,N,Not listed,biogeochemical,Plant,Mn,mg/kg,,-15.50%,Decrease,109,8,22,129,8,12,NE,Massachussetts
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,N,,community composition,Plant,cover,%,native,41.06%,Increase,11.75,10,1.18,8.33,10,4.41,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,N,,community composition,Plant,cover,%,non-native,33.28%,Increase,8.33,10,3.33,6.25,10,1.25,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,,,community composition,Plant,cover,%,non-native,7.78%,Increase,18.56,10,2.56,17.22,10,4.09,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,N,,community composition,Plant,cover,%,non-native,15.72%,Increase,19.29,10,4.81,16.67,10,5.43,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,Y,0.01,community composition,Plant,cover,%,non-native,21.05%,Increase,23,10,3.35,19,10,3.79,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,N,,community composition,Plant,cover,%,native,-23.91%,Decrease,8.56,10,2.08,11.25,10,4.73,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,N,,community composition,Plant,cover,%,native,-45.32%,Decrease,6.25,10,1.25,11.43,10,2.1,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,0,,,community composition,Plant,cover,%,non-native,-60.00%,Decrease,5,10,5,12.5,10,12.5,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,N,,community composition,Plant,cover,%,native,-50.90%,Decrease,3,10,1.53,6.11,10,2.86,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,Y,0.01,community composition,Plant,cover,%,non-native,151.87%,Increase,18.89,10,4.7,7.5,10,2.83,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,,,community composition,Plant,cover,%,non-native,100.00%,Increase,5,10,2.2,2.5,10,1.71,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,N,,community composition,Plant,cover,%,non-native,-22.77%,Decrease,21.88,10,4.81,28.33,10,7.49,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,N,,community composition,Plant,cover,%,non-native,-30.77%,Decrease,13.5,10,2.99,19.5,10,3.83,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,N,,community composition,Plant,cover,%,native,136.00%,Increase,9.44,10,2.82,4,10,4,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,N,,community composition,Plant,cover,%,native,4.00%,Increase,6.5,10,1.98,6.25,10,1.25,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,1,,,community composition,Plant,cover,%,non-native,50.00%,Increase,7.5,10,7.5,5,10,5,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,N,,community composition,Plant,cover,%,native,-20.00%,Decrease,5,10,2.58,6.25,10,2.06,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,N,,community composition,Plant,cover,%,non-native,128.19%,Increase,4.29,10,2.3,1.88,10,0.961,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,,,community composition,Plant,cover,%,non-native,30.39%,Increase,18.75,10,4.3,14.38,10,8.25,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,N,,community composition,Plant,cover,%,non-native,-29.63%,Decrease,21.11,10,7.85,30,10,14.05,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,N,,community composition,Plant,cover,%,non-native,0.00%,Decrease,2.5,10,2.5,2.5,10,1.12,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,N,,community composition,Plant,cover,%,native,1122.75%,Increase,20.42,10,10.69,1.67,10,1.67,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,N,,community composition,Plant,cover,%,native,47.06%,Increase,10.5,10,5.02,7.14,10,1.49,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,2,,,community composition,Plant,cover,%,non-native,#DIV/0!,#DIV/0!,7.5,10,7.5,0,10,0,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,N,,community composition,Plant,cover,%,native,14.16%,Increase,5,10,3.42,4.38,10,1.99,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,N,,community composition,Plant,cover,%,non-native,-45.62%,Decrease,7.14,10,1.01,13.13,10,2.98,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,community composition,Plant,cover,%,non-native,-88.81%,Decrease,0.63,10,0.63,5.63,10,3.95,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,N,,community composition,Plant,cover,%,non-native,3.32%,Increase,58.89,10,9.99,57,10,15.7,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,N,,community composition,Plant,cover,%,non-native,-100.00%,Decrease,0,10,,2,10,2,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,N,,community composition,Plant,cover,%,native,49.70%,Increase,2.5,10,1.71,1.67,10,1.67,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,N,,community composition,Plant,cover,%,native,74.83%,Increase,7.5,10,2.5,4.29,10,2.77,NE,Pennsylvannia
Chapman et al 2015,Deciduous Forest,Carbon Addition,294 g C /m2/yr sucrose,,3,,,community composition,Plant,cover,%,non-native,#DIV/0!,#DIV/0!,10,10,10,0,10,0,NE,Pennsylvannia
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,0.75,Y,0.05,biogeochemical,Soil,pH,,granite bedrock,5.91%,Increase,4.12,15,,3.89,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 /m2,,0.75,N,0.05,biogeochemical,Soil,pH,,sandstone bedrock,1.77%,Increase,4.03,15,,3.96,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,0.75,N,0.05,biogeochemical,Soil,Ca,cmol/kg,granite bedrock,22.22%,Increase,1.1,15,,0.9,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 /m2,,0.75,Y,0.05,biogeochemical,Soil,Ca,cmol/kg,sandstone bedrock,150.00%,Increase,0.7,15,,0.28,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,0.75,N,0.05,biogeochemical,Soil,Mg,cmol/kg,granite bedrock,41.67%,Increase,0.51,15,,0.36,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 /m2,,0.75,Y,0.05,biogeochemical,Soil,Mg,cmol/kg,sandstone bedrock,83.33%,Increase,0.22,15,,0.12,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,0.75,N,0.05,biogeochemical,Soil,K,cmol/kg,granite bedrock,-33.33%,Decrease,0.22,15,,0.33,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 /m2,,0.75,N,0.05,biogeochemical,Soil,K,cmol/kg,sandstone bedrock,20.00%,Increase,0.12,15,,0.1,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,0.75,N,0.05,biogeochemical,Soil,Na,cmol/kg,granite bedrock,0.00%,Decrease,0.06,15,,0.06,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 /m2,,0.75,N,0.05,biogeochemical,Soil,Na,cmol/kg,sandstone bedrock,0.00%,Decrease,0.02,15,,0.02,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,0.75,N,0.05,biogeochemical,Soil,Al,cmol/kg,granite bedrock,29.50%,Increase,4.96,15,,3.83,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 /m2,,0.75,N,0.05,biogeochemical,Soil,Al,cmol/kg,sandstone bedrock,-39.39%,Decrease,0.8,15,,1.32,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,0.75,N,0.05,biogeochemical,Soil,C:N,ratio,granite bedrock,-5.52%,Decrease,17.1,15,,18.1,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 /m2,,0.75,N,0.05,biogeochemical,Soil,C:N,ratio,sandstone bedrock,-3.77%,Decrease,15.3,15,,15.9,15,,Europe,Sweden
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,4.5,Not Stated,,community composition,Microbe,species richness,Total number of OTUs,granite bedrock,-6.85%,Decrease,68,15,,73,15,,Europe,
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,4.5,Y,0,community composition,Microbe,shannon diversity,H',granite bedrock,-1.51%,Decrease,5.89,15,,5.98,15,,Europe,
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,4.5,Y,0,community composition,Microbe,simpson diversity,1/D,granite bedrock,-1.94%,Decrease,101,15,,103,15,,Europe,
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,4.5,Not Stated,,community composition,Microbe,species richness,Total number of OTUs,sandstone bedrock,-12.22%,Decrease,79,15,,90,15,,Europe,
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,4.5,Y,0,community composition,Microbe,shannon diversity,H',sandstone bedrock,-3.17%,Decrease,6.11,15,,6.31,15,,Europe,
Clivot et al 2012,Mixed Forest,Liming,250 g CaMg(CO3)2 / m2,,4.5,Y,0,community composition,Microbe,simpson diversity,1/D,sandstone bedrock,-22.52%,Decrease,117,15,,151,15,,Europe,
Danneman et al 2006,Deciduous Forest,Thinning,moderate (60% reduction in mean basal area),,4 to 6,N,Unlisted,biogeochemical,Soil,SOC,%,,-3.53%,Decrease,8.2,72,0.3,8.5,72,0.6,Europe,Germany
Danneman et al 2006,Deciduous Forest,Thinning,moderate (60% reduction in mean basal area),,2,N,Unlisted,biogeochemical,Soil,SOC,%,,-8.04%,Decrease,10.3,72,0.6,11.2,72,0.8,Europe,Germany
Danneman et al 2006,Deciduous Forest,Thinning,moderate (60% reduction in mean basal area),,1,N,Unlisted,biogeochemical,Soil,SOC,%,,-4.44%,Decrease,8.6,72,0.2,9,72,0.5,Europe,Germany
Danneman et al 2006,Deciduous Forest,Thinning,moderate (60% reduction in mean basal area),,4 to 6,N,Unlisted,biogeochemical,Soil,C:N,ratio,,0.70%,Increase,14.3,72,0.4,14.2,72,0.2,Europe,Germany
Danneman et al 2006,Deciduous Forest,Thinning,moderate (60% reduction in mean basal area),,2,N,Unlisted,biogeochemical,Soil,C:N,ratio,,-2.34%,Decrease,16.7,72,0.5,17.1,72,0.6,Europe,Germany
Danneman et al 2006,Deciduous Forest,Thinning,moderate (60% reduction in mean basal area),,1,Y,Unlisted,biogeochemical,Soil,C:N,ratio,,-6.25%,Decrease,13.5,72,0.1,14.4,72,0.4,Europe,Germany
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Plant,biomass,kg/ha,root,-31.02%,Decrease,1710,,558,2479,,527,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Plant,N,kg/ha,root,70.29%,Increase,14.73,,5.29,8.65,,1.74,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Plant,C,kg/ha,root,-7.64%,Decrease,677,,225,733,,143,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Plant,N,mg/kg,root,137.14%,Increase,8.3,,1.5,3.5,,0.4,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Plant,C,mg/kg,root,24.44%,Increase,387,,20,311,,19,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Plant,C:N,kg/kg,root,-43.38%,Decrease,53.9,,14.1,95.2,,10.9,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Plant,mass,Mg/ha,forest floor,-62.94%,Decrease,34.8,,14.7,93.9,,26.5,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Plant,N,kg/ha,forest floor,-69.84%,Decrease,190,,83,630,,110,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Ground cover,C,Mg/ha,forest floor,-80.81%,Decrease,6.6,,2.4,34.4,,12.9,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Plant,N,mg/kg,forest floor,-33.77%,Decrease,5.1,,0.3,7.7,,0.5,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,Y,0.05,biogeochemical,Ground cover,C,mg/kg,forest floor,-37.13%,Decrease,210,,21,334,,36,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Plant,C:N,kg/kg,forest floor,-10.82%,Decrease,41.2,,3.2,46.2,,7.6,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Soil,N,kg/ha,mineral soil,22.28%,Increase,1773,,173,1450,,144,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Soil,C,Mg/ha,mineral soil,22.85%,Increase,37.1,,3.9,30.2,,2.6,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Soil,N,mg/kg,mineral soil,18.18%,Increase,1.3,,0.1,1.1,,0.1,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Soil,C,mg/kg,mineral soil,18.18%,Increase,27.3,,2.8,23.1,,1.9,SW,
Hungate et al 2007,Coniferous Forest,Thinning,heavily (79% reduction in basal area),,1 to 2,N,0.05,biogeochemical,Soil,C:N,kg/kg,mineral soil,-0.95%,Decrease,20.96,,0.85,21.16,,0.55,SW,
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,mass,kg/m^2,Oi + Oe horizon,10.39%,Increase,4.25,76,0.38,3.85,76,0.26,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,loss-on-ignition,g/kg,Oi + Oe horizon,-13.56%,Decrease,714,76,17,826,76,13,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,Y,0.05,biogeochemical,Soil,C,g/kg,Oi + Oe horizon,-9.21%,Decrease,404,76,10,445,76,7,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,N,g/kg,Oi + Oe horizon,-3.05%,Decrease,19.1,76,0.5,19.7,76,0.3,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,Y,0.05,biogeochemical,Soil,C:N,ratio,Oi + Oe horizon,-7.46%,Decrease,21.1,76,0.2,22.8,76,0.3,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,organic matter,kg/m^2,Oi + Oe horizon,-12.73%,Decrease,2.81,76,0.18,3.22,76,0.24,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,C,kg/m^2,Oi + Oe horizon,-6.40%,Decrease,1.61,76,0.12,1.72,76,0.13,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,N,g/m^2,Oi + Oe horizon,2.16%,Increase,75.6,76,5,74,76,4.9,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,mass,kg/m^2,Oa horizon,-26.82%,Decrease,8.05,76,0.9,11,76,1.5,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,loss-on-ignition,g/kg,Oa horizon,-15.15%,Decrease,437,76,21,515,76,18,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,C,g/kg,Oa horizon,-13.16%,Decrease,231,76,13,266,76,11,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,N,g/kg,Oa horizon,-8.80%,Decrease,11.4,76,0.6,12.5,76,0.5,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,N,0.05,biogeochemical,Soil,C:N,ratio,Oa horizon,-5.21%,Decrease,20,76,0.3,21.1,76,0.4,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,Y,0.05,biogeochemical,Soil,organic matter,kg/m^2,Oa horizon,-42.57%,Decrease,3.13,76,0.3,5.45,76,0.72,NE,New Hampshire
Johnson et al 2014,Deciduous Forest,Liming,102.8 g Ca/m2 wollastonite,,11,Y,0.05,biogeochemical,Soil,C,kg/m^2,Oa horizon,-40.94%,Decrease,1.63,76,0.15,2.76,76,0.36,NE,New Hampshire
